iter	MultiClass
0	1.368676148
1	1.355816582
2	1.346647293
3	1.336952288
4	1.330475018
5	1.322298926
6	1.315497976
7	1.310039525
8	1.30482457
9	1.300236158
10	1.295618745
11	1.291331494
12	1.287897143
13	1.284653545
14	1.28071524
15	1.278305584
16	1.276255836
17	1.27382261
18	1.271837651
19	1.270032517
20	1.268729567
21	1.266192442
22	1.264125717
23	1.262096679
24	1.260894769
25	1.258470675
26	1.257089521
27	1.254434676
28	1.252172198
29	1.2510405
30	1.249762108
31	1.248537374
32	1.247131386
33	1.244799406
34	1.243543101
35	1.241895372
36	1.239900444
37	1.239259943
38	1.238209379
39	1.237506623
40	1.236665731
41	1.234379132
42	1.232562109
43	1.231778029
44	1.229745495
45	1.227121624
46	1.226468546
47	1.225170307
48	1.223677473
49	1.222416546
50	1.221539488
51	1.220936214
52	1.219002937
53	1.218617978
54	1.217097136
55	1.214778897
56	1.214093457
57	1.212283728
58	1.210836739
59	1.210042918
60	1.208978299
61	1.207970106
62	1.207312227
63	1.206548275
64	1.205811898
65	1.205297443
66	1.204542256
67	1.203219245
68	1.202195539
69	1.200198539
70	1.199557308
71	1.198331242
72	1.198059311
73	1.196011606
74	1.194818062
75	1.193971631
76	1.192574425
77	1.191725079
78	1.189959046
79	1.188985905
80	1.18736901
81	1.186713881
82	1.185377408
83	1.183965162
84	1.182963651
85	1.181336694
86	1.180489098
87	1.17915066
88	1.178411647
89	1.176732488
90	1.175751116
91	1.17488747
92	1.173513886
93	1.172741903
94	1.171112275
95	1.169612812
96	1.168429365
97	1.167262363
98	1.165948515
99	1.165445788
100	1.164837799
101	1.163733849
102	1.161601256
103	1.160998508
104	1.160012256
105	1.158578772
106	1.157544849
107	1.156769804
108	1.1550365
109	1.154412556
110	1.152670532
111	1.151288984
112	1.150208143
113	1.149374574
114	1.148267832
115	1.146557268
116	1.144616267
117	1.143539077
118	1.142422897
119	1.140673854
120	1.139757559
121	1.137768365
122	1.136660424
123	1.135301689
124	1.134124284
125	1.13307607
126	1.131152433
127	1.128820575
128	1.127530083
129	1.126609422
130	1.125320708
131	1.123757334
132	1.122471968
133	1.121534966
134	1.120405138
135	1.119485542
136	1.117868616
137	1.116200422
138	1.115438269
139	1.114412879
140	1.113276475
141	1.111888719
142	1.110142572
143	1.10910632
144	1.108040439
145	1.106557544
146	1.105337222
147	1.104565517
148	1.103891636
149	1.103218165
150	1.10257834
151	1.101202288
152	1.100026423
153	1.098248601
154	1.097460573
155	1.096394653
156	1.095417878
157	1.09471458
158	1.093999969
159	1.093118764
160	1.092136375
161	1.091176091
162	1.090298367
163	1.089592254
164	1.088220855
165	1.087186879
166	1.086075011
167	1.084614586
168	1.083217394
169	1.082250416
170	1.081349605
171	1.080489135
172	1.079861978
173	1.07874038
174	1.077483327
175	1.076544892
176	1.075496281
177	1.074390753
178	1.073784709
179	1.072500635
180	1.071367969
181	1.070546765
182	1.069383903
183	1.068840455
184	1.067394926
185	1.065717396
186	1.064818689
187	1.064220924
188	1.063297661
189	1.062440531
190	1.061067312
191	1.060363326
192	1.059890538
193	1.059174894
194	1.058398315
195	1.057445348
196	1.056436351
197	1.054928406
198	1.054323706
199	1.05346827
