iter	Passed	Remaining
0	21	4240
1	37	3759
2	53	3510
3	69	3425
4	86	3365
5	101	3295
6	119	3294
7	135	3260
8	151	3222
9	168	3193
10	184	3165
11	200	3146
12	217	3125
13	232	3089
14	249	3079
15	265	3049
16	281	3026
17	297	3010
18	313	2990
19	329	2968
20	348	2966
21	365	2957
22	382	2940
23	398	2919
24	413	2892
25	428	2870
26	444	2850
27	462	2840
28	478	2820
29	494	2804
30	510	2784
31	528	2773
32	543	2750
33	561	2739
34	576	2719
35	593	2705
36	610	2689
37	625	2668
38	640	2645
39	657	2629
40	672	2608
41	690	2598
42	707	2581
43	722	2560
44	737	2541
45	754	2526
46	768	2503
47	783	2481
48	800	2466
49	816	2450
50	835	2440
51	855	2433
52	874	2424
53	888	2403
54	904	2383
55	919	2364
56	934	2344
57	950	2327
58	966	2310
59	981	2290
60	997	2272
61	1013	2256
62	1029	2239
63	1045	2221
64	1060	2202
65	1075	2184
66	1091	2167
67	1109	2153
68	1126	2139
69	1142	2122
70	1158	2104
71	1173	2086
72	1189	2069
73	1206	2054
74	1222	2037
75	1237	2018
76	1252	2001
77	1268	1983
78	1286	1969
79	1301	1951
80	1316	1934
81	1332	1918
82	1349	1902
83	1365	1885
84	1381	1868
85	1397	1852
86	1413	1835
87	1429	1819
88	1444	1802
89	1461	1785
90	1478	1770
91	1493	1753
92	1510	1737
93	1525	1719
94	1541	1703
95	1557	1687
96	1574	1672
97	1590	1655
98	1611	1644
99	1626	1626
100	1641	1609
101	1657	1592
102	1674	1576
103	1690	1560
104	1706	1544
105	1723	1528
106	1739	1511
107	1755	1495
108	1770	1478
109	1786	1461
110	1802	1445
111	1819	1429
112	1839	1416
113	1857	1400
114	1875	1385
115	1894	1372
116	1912	1356
117	1929	1341
118	1946	1324
119	1963	1308
120	1979	1292
121	1997	1277
122	2012	1260
123	2028	1243
124	2044	1226
125	2059	1209
126	2076	1193
127	2093	1177
128	2109	1161
129	2126	1145
130	2143	1128
131	2159	1112
132	2176	1096
133	2191	1079
134	2207	1062
135	2223	1046
136	2239	1030
137	2256	1013
138	2271	996
139	2290	981
140	2306	965
141	2322	948
142	2340	932
143	2357	916
144	2372	899
145	2388	883
146	2403	866
147	2419	850
148	2435	833
149	2450	816
150	2466	800
151	2483	784
152	2499	767
153	2516	751
154	2531	735
155	2547	718
156	2563	702
157	2578	685
158	2594	669
159	2610	652
160	2626	636
161	2641	619
162	2656	603
163	2672	586
164	2688	570
165	2704	553
166	2719	537
167	2735	521
168	2752	504
169	2768	488
170	2786	472
171	2801	456
172	2816	439
173	2834	423
174	2851	407
175	2867	391
176	2884	374
177	2900	358
178	2916	342
179	2934	326
180	2950	309
181	2965	293
182	2982	277
183	2998	260
184	3014	244
185	3032	228
186	3050	212
187	3066	195
188	3083	179
189	3100	163
190	3118	146
191	3135	130
192	3153	114
193	3168	98
194	3185	81
195	3203	65
196	3220	49
197	3236	32
198	3252	16
199	3268	0
